序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url
1,空之境界 终章 空之境界,8.4,动画,,1,4,90,0.343426573,#E6DCDC,0.276783217,#233422,0.212867133,#5C8D97,0.117132867,#823523,0.04979021,#DF9C39,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2179546226.jpg,https://movie.douban.com/subject/5296286/
2,情迷意乱,9.1,剧情,爱情,2,19,28,0.241258741,#463939,0.202447552,#D9C7A7,0.195664336,#AD5B4F,0.185034965,#A7ADA8,0.175594406,#92796F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1449763371.jpg,https://movie.douban.com/subject/1422091/
3,银魂剧场版：新译红樱篇,9.1,喜剧,动画,2,25,25,0.275664336,#403130,0.245454545,#80767F,0.208321678,#DBD4CE,0.185174825,#A77F50,0.085384615,#D8D431,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p612363092.jpg,https://movie.douban.com/subject/4122194/
4,声之形,6.9,剧情,动画,3,1,93,0.392517483,#EEECEC,0.227062937,#C9C7C3,0.137342657,#594C4C,0.136293706,#9C9092,0.106783217,#739A85,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497136132.jpg,https://movie.douban.com/subject/26264454/
5,剑风传奇 黄金时代篇3：降临,8.7,剧情,动画,3,29,6,0.376433566,#100B0B,0.351958042,#EDEDED,0.131328671,#AAA8A8,0.101188811,#433C3D,0.039090909,#A91E23,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1778898508.jpg,https://movie.douban.com/subject/7051375/
6,热血高校2,7.8,动作,动作,3,39,7,0.410629371,#120B0B,0.234475524,#AE170E,0.146223776,#5F564C,0.111538462,#D1C3B7,0.097132867,#6F1412,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p936977410.jpg,https://movie.douban.com/subject/3074408/
7,航海王之黄金城,7.7,剧情,动画,4,32,24,0.261328671,#3D2B2A,0.221118881,#9D7B41,0.186013986,#D7C6A9,0.165804196,#DBCB50,0.165734266,#B75A46,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2392493260.jpg,https://movie.douban.com/subject/26598021/
8,吸血鬼猎人D,8.7,动作,动画,4,56,18,0.376993007,#2F1715,0.235594406,#6B4436,0.17965035,#F1C695,0.17013986,#551F11,0.037622378,#A92417,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453851762.jpg,https://movie.douban.com/subject/1306982/
9,伤物语3：冷血篇,8.4,喜剧,动画,4,60,30,0.346153846,#4E221F,0.215244755,#8D979A,0.18013986,#444947,0.160629371,#ECEFEF,0.097832168,#A69648,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2449813668.jpg,https://movie.douban.com/subject/26635321/
10,阿修罗,8,动画,恐怖,4,72,11,0.47048951,#1D0908,0.20979021,#BE5034,0.202727273,#572317,0.066783217,#57524F,0.05020979,#F0E9E3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1610184632.jpg,https://movie.douban.com/subject/10746430/
11,被嫌弃的松子的一生,8.9,剧情,,4,81,80,0.348251748,#CD3428,0.261258741,#922D2B,0.202867133,#36191A,0.136153846,#CEA8A5,0.051468531,#E6AF39,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,https://movie.douban.com/subject/1787291/
12,最终幻想15：王者之剑,7.3,剧情,动画,5,28,14,0.392867133,#231A19,0.25993007,#58362F,0.170909091,#A25C48,0.097132867,#7E696A,0.079160839,#D3A580,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2436217927.jpg,https://movie.douban.com/subject/26762709/
13,彩虹女神,7.7,剧情,爱情,5,46,81,0.289300699,#CE7770,0.284335664,#8CB1D8,0.254755245,#DFE9F0,0.11986014,#363331,0.051748252,#3D4C6F,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p765911717.jpg,https://movie.douban.com/subject/1787277/
14,精灵宝可梦：就决定是你了,7.7,动画,冒险,5,47,13,0.273846154,#201211,0.22979021,#A73C2C,0.211048951,#E16D17,0.176153846,#EEB528,0.109160839,#7D96AA,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509833353.jpg,https://movie.douban.com/subject/26937474/
15,萤火虫之墓,8.7,剧情,动画,5,61,7,0.664405594,#130807,0.116503497,#5B4E40,0.098951049,#CCC4AE,0.077972028,#D2AF54,0.042167832,#B7121C,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,https://movie.douban.com/subject/1293318/
16,新世纪福音战士剧场版：Air/真心为你,9.4,剧情,动画,5,94,79,0.347972028,#C91E0D,0.221608392,#8D120E,0.215524476,#480C0D,0.112587413,#966C66,0.102307692,#E8BD9C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453716993.jpg,https://movie.douban.com/subject/1308892/
17,新世纪福音战士剧场版：复兴,9.3,剧情,动画,6,12,23,0.428881119,#393332,0.20041958,#050E10,0.146643357,#060E10,0.118321678,#050E10,0.105734266,#050E10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2227584460.jpg,https://movie.douban.com/subject/20458867/
18,有顶天酒店,8,剧情,爱情,6,77,64,0.25020979,#A33125,0.212237762,#A1724E,0.197482517,#CBB7A7,0.177202797,#634637,0.162867133,#221C21,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648904916.jpg,https://movie.douban.com/subject/1482316/
19,东京暮色,8.5,剧情,,7,34,25,0.297622378,#3F2C2A,0.26006993,#A98B72,0.238601399,#EDE9D4,0.131048951,#C5422D,0.072657343,#C68732,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2200573263.jpg,https://movie.douban.com/subject/1300842/
20,愚人节,7.8,喜剧,喜剧,7,68,69,0.290979021,#AF4537,0.226643357,#D61C1F,0.198601399,#DB9673,0.173426573,#341D1A,0.11034965,#D7C0B7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2233235589.jpg,https://movie.douban.com/subject/26270517/
21,黄色的眼泪,8.2,剧情,,8,23,18,0.267762238,#2D2423,0.25027972,#4E432D,0.222167832,#77602F,0.194615385,#DDCD95,0.065174825,#BF9137,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p661308569.jpg,https://movie.douban.com/subject/1908036/
22,切腹,9.2,剧情,,8,25,19,0.325594406,#312625,0.296433566,#D2CECA,0.208321678,#746D74,0.120769231,#AE6144,0.048881119,#EB4935,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151748293.jpg,https://movie.douban.com/subject/1304920/
23,红辣椒,8.9,科幻,动画,8,70,59,0.314895105,#963B2D,0.223496503,#E1C5AC,0.191188811,#A76F50,0.144125874,#D89E5D,0.126293706,#42332C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,https://movie.douban.com/subject/1865703/
24,乌鸦的拇指,7.7,剧情,悬疑,9,19,8,0.317762238,#141110,0.240699301,#443F3A,0.232097902,#E3E5E7,0.167902098,#AD9585,0.041538462,#991C57,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1795123431.jpg,https://movie.douban.com/subject/6889533/
25,死亡的游戏,8.5,动作,动作,9,27,5,0.392797203,#0D0A09,0.200629371,#B79E79,0.149300699,#070505,0.133146853,#080606,0.124125874,#000000,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2230024255.jpg,https://movie.douban.com/subject/5401681/
26,天元突破剧场版：红莲篇,8.5,剧情,动画,9,39,29,0.248811189,#49312D,0.238811189,#86482F,0.182727273,#D4C47C,0.172797203,#B59783,0.156853147,#BA853D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2192980757.jpg,https://movie.douban.com/subject/3217118/
27,春宵苦短，少女前进吧！,8.5,喜剧,动画,7,84,75,0.288652482,#C0331F,0.241489362,#433138,0.218297872,#F2F2F2,0.175886525,#A1959B,0.075673759,#908341,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2469814449.jpg,https://movie.douban.com/subject/26935251/
28,古畑任三郎 VS SMAP,8.7,剧情,犯罪,10,8,10,0.36,#191717,0.215594406,#917C77,0.172167832,#141212,0.149090909,#161313,0.103146853,#100F0F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2388615673.jpg,https://movie.douban.com/subject/1441054/
29,笑之大学,8.6,剧情,喜剧,10,18,37,0.320699301,#5E504D,0.248391608,#7B6961,0.200699301,#443A40,0.133286713,#A88672,0.096923077,#C7BDB9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p886358101.jpg,https://movie.douban.com/subject/1328665/
