序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url,cover
1,共犯,6.5,犯罪,惊悚,0,24,10,0.321888112,#1A1414,0.185804196,#F8F8F7,0.180629371,#BFB0A9,0.166153846,#7C6861,0.145524476,#CEB190,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155399263.jpg,https://movie.douban.com/subject/10566662/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155399263.jpg
2,老师的恩惠,6.7,恐怖,惊悚,0,28,5,0.399020979,#0D0909,0.206713287,#382E2C,0.173706294,#675E5A,0.141258741,#97928B,0.079300699,#7A4A34,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1055410077.jpg,https://movie.douban.com/subject/2054070/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1055410077.jpg
3,为了霍洛维茨,7.5,剧情,,1,10,34,0.303006993,#574E4E,0.299090909,#1A1819,0.230839161,#948C84,0.144475524,#DDD7D2,0.022587413,#89393D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2200534238.jpg,https://movie.douban.com/subject/1855371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2200534238.jpg
4,神汉流氓,7,喜剧,犯罪,1,27,6,0.319020979,#0F0B0B,0.219300699,#DE942B,0.208601399,#324348,0.152027972,#A17058,0.101048951,#7C9D5C,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1848987578.jpg,https://movie.douban.com/subject/11523504/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1848987578.jpg
5,不好的家,7.4,家庭,,1,29,10,0.322027972,#1A1212,0.246503497,#9EAAA7,0.198811189,#584F4A,0.137202797,#852C2A,0.095454545,#E12E3D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2519080759.jpg,https://movie.douban.com/subject/2027775/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2519080759.jpg
6,延坪海战,6.5,战争,剧情,1,34,15,0.246923077,#271A1A,0.202657343,#654F48,0.200559441,#703336,0.178811189,#998C88,0.171048951,#937E7E,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2241987847.jpg,https://movie.douban.com/subject/24843623/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2241987847.jpg
7,7号室,6.1,喜剧,悬疑,1,54,7,0.424125874,#120909,0.254545455,#2F1C16,0.196153846,#583625,0.095594406,#9D6D46,0.02958042,#9D5A5A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2501564428.jpg,https://movie.douban.com/subject/26901393/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2501564428.jpg
8,朋友2,6.5,动作,,2,15,3,0.458951049,#070606,0.168251748,#352F2A,0.151328671,#6F5C4D,0.119160839,#B2A08B,0.102307692,#180D0A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2154816416.jpg,https://movie.douban.com/subject/10441571/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2154816416.jpg
9,精彩的一天,7.5,爱情,剧情,3,16,16,0.291958042,#282121,0.226293706,#712529,0.190979021,#BD8C68,0.17027972,#817174,0.12048951,#DD893B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584881436.jpg,https://movie.douban.com/subject/3319775/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584881436.jpg
10,蔷花，红莲,7.1,恐怖,惊悚,3,32,25,0.433146853,#3F2C2B,0.240979021,#100D0D,0.147202797,#84664D,0.117692308,#D4B08F,0.060979021,#A5ADB1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457610525.jpg,https://movie.douban.com/subject/1308047/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457610525.jpg
