序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url
1,冰川时代,8.4,动画,喜剧,1,0,98,0.541678322,#FAF9F9,0.172517483,#BD9C8E,0.124335664,#583D39,0.092307692,#BBD4EC,0.069160839,#72AAE2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,https://movie.douban.com/subject/1291578/
2,现代启示录,8.4,"战争
",剧情,1,36,15,0.256713287,#261918,0.24979021,#563025,0.239440559,#CF6438,0.216433566,#974930,0.037622378,#CBC8C8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2501047088.jpg,https://movie.douban.com/subject/1292260/
3,光荣之路,8.9,"战争
",剧情,1,82,75,0.329370629,#BE2623,0.24041958,#DECBB8,0.237412587,#201A28,0.112867133,#A14441,0.07993007,#6D6668,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p955392372.jpg,https://movie.douban.com/subject/1292969/
4,蓝白红三部曲之红,8.7,爱情,剧情,1,91,70,0.360699301,#B31511,0.258881119,#9C1613,0.251888112,#160F11,0.084195804,#834635,0.044335664,#EACDBC,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173726043.jpg,https://movie.douban.com/subject/1292047/
5,奇爱博士,8.7,"喜剧
",剧情,2,1,99,0.371888112,#FCFBFB,0.247622378,#968D7E,0.161398601,#DBD4CA,0.156783217,#131110,0.062307692,#D64D52,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p835946292.jpg,https://movie.douban.com/subject/1322848/
6,泰坦尼克号,9.3,爱情,灾难,2,3,85,0.288111888,#D8D1D1,0.285454545,#1E1F21,0.162657343,#5C422F,0.154265734,#BD8F6A,0.10951049,#666C74,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,https://movie.douban.com/subject/1292722/
7,野草莓,8.7,"剧情
",爱情,2,36,10,0.40972028,#1A1111,0.194615385,#C9B68C,0.152307692,#535639,0.149160839,#F9F6DD,0.094195804,#BE5535,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p540202708.jpg,https://movie.douban.com/subject/1293071/
8,蝙蝠侠：黑暗骑士崛起,8.6,"科幻
",动作,2,38,4,0.566923077,#090606,0.174545455,#3A1F1D,0.098251748,#AC5234,0.092797203,#EED7A6,0.067482517,#695C58,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,https://movie.douban.com/subject/3395373/
9,肖申克的救赎,9.6,"剧情
",犯罪,2,54,8,0.552097902,#150A0A,0.147902098,#D5A573,0.131888112,#663924,0.101958042,#EDDBCB,0.066153846,#555655,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,https://movie.douban.com/subject/1292052/
10,布达佩斯之恋,8.6,爱情,剧情,2,92,97,0.422447552,#F71913,0.227202797,#D6552A,0.13993007,#762617,0.114685315,#2B120F,0.095734266,#E79F7B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p467734271.jpg,https://movie.douban.com/subject/1301106/
11,阿甘正传,9.4,"剧情
",爱情,3,3,85,0.275664336,#D9D2D2,0.198951049,#E4E0E0,0.179230769,#EBE8E8,0.175034965,#E9E6E6,0.171118881,#EBE8E8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,https://movie.douban.com/subject/1292720/
12,七宗罪,8.7,"悬疑
",犯罪,3,14,6,0.424055944,#100E0E,0.213146853,#2E2D2C,0.184545455,#595757,0.136363636,#B7B5B2,0.041888112,#572427,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,https://movie.douban.com/subject/1292223/
13,追梦赤子心,8.8,"传记
",剧情,3,51,40,0.302797203,#653331,0.278041958,#302529,0.177902098,#D4BA50,0.157552448,#A6794A,0.083706294,#DED9CE,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p452578349.jpg,https://movie.douban.com/subject/1294753/
14,霍比特人1：意外之旅,8.2,"奇幻
",冒险,3,54,3,0.457972028,#080404,0.175174825,#31241E,0.14041958,#5F533C,0.121608392,#A08963,0.104825175,#D6CAA9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1716297390.jpg,https://movie.douban.com/subject/1966182/
15,蝙蝠侠：黑暗骑士归来(下),8.7,动画,动作,4,36,11,0.322657343,#1C1312,0.269160839,#4C2F28,0.168881119,#8D5B4B,0.13965035,#C76D44,0.09965035,#EDCA95,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1771403296.jpg,https://movie.douban.com/subject/11443810/
16,小鬼当家,8.1,"喜剧
",,4,75,40,0.359230769,#651E19,0.214545455,#2A1C19,0.19972028,#D9742E,0.161118881,#9FBAE2,0.065384615,#C2AB87,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1529668801.jpg,https://movie.douban.com/subject/1293088/
17,后窗,8.5,"悬疑
",惊悚,5,39,31,0.31034965,#503330,0.252657343,#8E403A,0.172587413,#FAF8EE,0.162727273,#817B75,0.101678322,#CABE8E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p998913501.jpg,https://movie.douban.com/subject/1299080/
18,发条橙,8.4,"犯罪
",剧情,5,99,88,0.433006993,#E11602,0.246083916,#100C0F,0.170699301,#DF9372,0.103216783,#E1E0DF,0.046993007,#921E22,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg,https://movie.douban.com/subject/1292233/
19,天才瑞普利,8.2,"犯罪
",剧情,6,62,22,0.367482517,#391916,0.316293706,#100809,0.138251748,#99431C,0.107832168,#DAAA50,0.07013986,#D1CAAE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1915065575.jpg,https://movie.douban.com/subject/1295045/
20,蝙蝠侠：侠影之谜,8.3,"科幻
",动作,6,73,7,0.322657343,#120605,0.240909091,#3A2318,0.18951049,#713F1E,0.146853147,#B87A35,0.10006993,#E1C591,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1563566300.jpg,https://movie.douban.com/subject/1309069/
21,速度与激情7,8.3,"动作
",犯罪,7,10,57,0.286363636,#928684,0.278601399,#DCD2CB,0.233286713,#5E555C,0.13979021,#311D2A,0.061958042,#B3683A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2233706697.jpg,https://movie.douban.com/subject/23761370/
22,本杰明·巴顿奇事,8.8,爱情,奇幻,7,60,3,0.368181818,#080403,0.215664336,#39241B,0.151468531,#EDD1AC,0.135594406,#BC9064,0.129090909,#725037,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,https://movie.douban.com/subject/1485260/
23,日落大道,8.7,"黑色电影
",剧情,7,82,85,0.371748252,#D93C27,0.237622378,#272429,0.232867133,#F2E0CF,0.135734266,#B07D64,0.022027972,#E5D24E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1119483806.jpg,https://movie.douban.com/subject/1298733/
24,黑皮书,8.3,"战争
",剧情,9,29,2,0.443356643,#050404,0.184825175,#D7CAB6,0.128251748,#3B3431,0.124335664,#75746E,0.119230769,#91644F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2198811825.jpg,https://movie.douban.com/subject/1858802/
25,冰川时代3,8.2,动画,喜剧,9,30,7,0.365454545,#120D0C,0.201538462,#47B3E3,0.195874126,#4D5E3C,0.128601399,#ADBFB7,0.108531469,#B46B34,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2213132432.jpg,https://movie.douban.com/subject/2357162/
26,普罗旺斯的夏天,8.3,"家庭
",剧情,9,67,83,0.423076923,#D35B45,0.214895105,#7C312C,0.175874126,#B57260,0.128601399,#DFB79F,0.057552448,#F3D42A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176944875.jpg,https://movie.douban.com/subject/25858604/
27,尼罗河上的惨案,8.4,"悬疑
",犯罪,10,9,6,0.558951049,#0F0E0E,0.123006993,#F6F5F3,0.112447552,#412F22,0.106433566,#715632,0.099160839,#AA8038,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2366278130.jpg,https://movie.douban.com/subject/1302100/
28,玩具总动员3,8.8,动画,喜剧,10,43,33,0.336363636,#533630,0.223356643,#BAAA9F,0.187062937,#89813B,0.128671329,#474EA2,0.124545455,#F0D937,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,https://movie.douban.com/subject/1858711/
29,狩猎,9,"剧情
",,10,63,5,0.434265734,#0D0605,0.177762238,#614027,0.163706294,#2D170D,0.118041958,#B98056,0.106223776,#C8AD8A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,https://movie.douban.com/subject/6985810/
30,巴黎圣母院,9.3,爱情,音乐,10,69,70,0.255244755,#B24D38,0.25,#F8F4EC,0.212377622,#422933,0.17,#EEB74B,0.112377622,#B3908B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329626263.jpg,https://movie.douban.com/subject/20326557/
31,不可饶恕,8.4,"剧情
",西部,10,79,7,0.313636364,#120604,0.281258741,#4A3012,0.152377622,#100503,0.136573427,#0D0303,0.116153846,#0C0202,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1083392613.jpg,https://movie.douban.com/subject/1293566/
32,热情如火,8.8,"喜剧
",,10,84,44,0.366363636,#712212,0.213706294,#B68E81,0.194055944,#F2EFEA,0.155034965,#2A1A16,0.070839161,#EFC149,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p860250155.jpg,https://movie.douban.com/subject/1292574/
33,黄昏双镖客,8.7,"西部
",,11,22,11,0.40034965,#1B1615,0.239020979,#84614A,0.16041958,#B22915,0.155664336,#E9E2CF,0.044545455,#C4A627,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2191195219.jpg,https://movie.douban.com/subject/1295586/
34,对她说,8.6,"剧情
",,11,27,10,0.397062937,#191312,0.253426573,#538AB3,0.16,#63211B,0.108951049,#A81409,0.080559441,#3E4B5D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1108397218.jpg,https://movie.douban.com/subject/1292211/
35,夜访吸血鬼,8.3,"奇幻
",惊悚,11,49,5,0.408531469,#0E0807,0.190979021,#39201A,0.153916084,#6D3320,0.126853147,#DDBB99,0.11972028,#BB855D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1353910572.jpg,https://movie.douban.com/subject/1299327/
36,汉尼拔,8.1,"惊悚
",犯罪,11,80,4,0.453146853,#090302,0.158951049,#2B1812,0.135664336,#9A653A,0.132097902,#5D3720,0.12013986,#D8A569,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p613321434.jpg,https://movie.douban.com/subject/1301746/
